"","dominant_pyrome","pyrome_breadth","TAXON_ID","dominant_pyrome_name"
"92",3,7,"10174","Temperate Cropping Zone"
"93",14,5,"12167","Dry Cropping Zone"
"94",14,4,"12105","Dry Cropping Zone"
"95",1,7,"10198","Dry Temperate Forest"
"96",3,8,"12326","Temperate Cropping Zone"
"97",14,7,"62969","Dry Cropping Zone"
"98",1,8,"10112","Dry Temperate Forest"
"99",1,8,"10977","Dry Temperate Forest"
"100",14,6,"12204","Dry Cropping Zone"
"101",4,4,"10348","Wet Temperate Forest"
"102",14,4,"10437","Dry Cropping Zone"
"103",1,8,"10210","Dry Temperate Forest"
"104",14,5,"10446","Dry Cropping Zone"
"105",1,5,"10498","Dry Temperate Forest"
"106",3,8,"10481","Temperate Cropping Zone"
"107",1,8,"11351","Dry Temperate Forest"
"108",1,8,"10524","Dry Temperate Forest"
"109",3,8,"10274","Temperate Cropping Zone"
"110",1,8,"10222","Dry Temperate Forest"
"111",4,5,"61342","Wet Temperate Forest"
"112",1,3,"61343","Dry Temperate Forest"
"113",1,8,"12580","Dry Temperate Forest"
"114",1,8,"10034","Dry Temperate Forest"
"115",1,8,"11113","Dry Temperate Forest"
"116",4,4,"10429","Wet Temperate Forest"
"117",14,8,"11061","Dry Cropping Zone"
"118",1,8,"13134","Dry Temperate Forest"
"119",1,7,"10158","Dry Temperate Forest"
"120",1,5,"11129","Dry Temperate Forest"
"121",1,7,"10157","Dry Temperate Forest"
"122",1,8,"12174","Dry Temperate Forest"
"123",4,4,"11165","Wet Temperate Forest"
"124",4,3,"12386","Wet Temperate Forest"
"125",3,4,"62958","Temperate Cropping Zone"
"126",4,4,"12458","Wet Temperate Forest"
"127",4,4,"10630","Wet Temperate Forest"
"128",14,8,"10419","Dry Cropping Zone"
"129",3,8,"10043","Temperate Cropping Zone"
"130",1,7,"10416","Dry Temperate Forest"
"131",1,4,"10115","Dry Temperate Forest"
"132",14,7,"10449","Dry Cropping Zone"
"133",1,8,"10282","Dry Temperate Forest"
"134",1,5,"12408","Dry Temperate Forest"
"135",14,7,"12722","Dry Cropping Zone"
"136",1,7,"10161","Dry Temperate Forest"
"137",1,8,"10101","Dry Temperate Forest"
"138",4,5,"12450","Wet Temperate Forest"
"139",4,3,"13120","Wet Temperate Forest"
"140",1,5,"12413","Dry Temperate Forest"
"141",3,8,"10031","Temperate Cropping Zone"
"142",3,8,"10652","Temperate Cropping Zone"
"143",4,2,"62968","Wet Temperate Forest"
"144",3,7,"10318","Temperate Cropping Zone"
"145",1,7,"10140","Dry Temperate Forest"
"146",1,4,"10655","Dry Temperate Forest"
"147",4,4,"11033","Wet Temperate Forest"
"148",1,8,"10056","Dry Temperate Forest"
"149",1,8,"10547","Dry Temperate Forest"
"150",13,5,"12492","Arid Chenopod Shrubland Transition"
"151",1,4,"4701","Dry Temperate Forest"
"152",1,3,"12726","Dry Temperate Forest"
"153",3,3,"11098","Temperate Cropping Zone"
"154",4,3,"10519","Wet Temperate Forest"
"155",4,4,"11811","Wet Temperate Forest"
"156",1,8,"12699","Dry Temperate Forest"
"157",1,6,"10149","Dry Temperate Forest"
"158",4,4,"11372","Wet Temperate Forest"
"159",1,8,"11839","Dry Temperate Forest"
"160",3,7,"10187","Temperate Cropping Zone"
"161",1,8,"11265","Dry Temperate Forest"
"162",4,4,"11303","Wet Temperate Forest"
"163",1,4,"10347","Dry Temperate Forest"
"164",4,4,"11150","Wet Temperate Forest"
"165",4,2,"10191","Wet Temperate Forest"
"166",1,8,"10288","Dry Temperate Forest"
"167",4,4,"12650","Wet Temperate Forest"
"168",1,7,"5134","Dry Temperate Forest"
"169",4,7,"10591","Wet Temperate Forest"
"170",1,6,"12936","Dry Temperate Forest"
"171",1,5,"12682","Dry Temperate Forest"
"172",4,7,"61266","Wet Temperate Forest"
"173",13,6,"12557","Arid Chenopod Shrubland Transition"
"174",4,4,"10421","Wet Temperate Forest"
"175",4,8,"10392","Wet Temperate Forest"
"176",14,8,"10307","Dry Cropping Zone"
"177",1,8,"10001","Dry Temperate Forest"
"178",1,8,"10059","Dry Temperate Forest"
"179",1,8,"10360","Dry Temperate Forest"
"180",1,8,"10338","Dry Temperate Forest"
"181",3,7,"11072","Temperate Cropping Zone"
"182",4,7,"11147","Wet Temperate Forest"
"183",1,7,"10382","Dry Temperate Forest"
"184",1,8,"4692","Dry Temperate Forest"
"185",1,5,"10868","Dry Temperate Forest"
"186",1,8,"10335","Dry Temperate Forest"
"187",1,5,"12446","Dry Temperate Forest"
"188",1,7,"10214","Dry Temperate Forest"
"189",14,8,"528545","Dry Cropping Zone"
"190",1,8,"10613","Dry Temperate Forest"
"191",1,8,"10273","Dry Temperate Forest"
"192",4,5,"10268","Wet Temperate Forest"
"193",4,8,"12451","Wet Temperate Forest"
"194",3,6,"13060","Temperate Cropping Zone"
"195",4,3,"13042","Wet Temperate Forest"
"196",1,8,"10403","Dry Temperate Forest"
"197",13,4,"11050","Arid Chenopod Shrubland Transition"
"198",4,3,"62919","Wet Temperate Forest"
"199",4,2,"10265","Wet Temperate Forest"
"200",1,4,"12683","Dry Temperate Forest"
"201",3,7,"10178","Temperate Cropping Zone"
"202",3,8,"4873","Temperate Cropping Zone"
"203",1,8,"10398","Dry Temperate Forest"
"204",1,7,"10525","Dry Temperate Forest"
"205",4,7,"11334","Wet Temperate Forest"
"206",1,8,"11349","Dry Temperate Forest"
"207",1,4,"12948","Dry Temperate Forest"
"208",1,2,"12922","Dry Temperate Forest"
"209",1,4,"12599","Dry Temperate Forest"
"210",1,8,"10096","Dry Temperate Forest"
"211",1,7,"10060","Dry Temperate Forest"
"212",1,6,"10165","Dry Temperate Forest"
"213",4,4,"11133","Wet Temperate Forest"
"214",1,7,"10141","Dry Temperate Forest"
"215",4,3,"13166","Wet Temperate Forest"
"216",1,8,"10702","Dry Temperate Forest"
"217",1,8,"10697","Dry Temperate Forest"
"218",3,7,"10236","Temperate Cropping Zone"
"219",1,8,"10361","Dry Temperate Forest"
"220",1,7,"10220","Dry Temperate Forest"
"221",1,4,"10136","Dry Temperate Forest"
"222",1,8,"10408","Dry Temperate Forest"
"223",1,8,"10211","Dry Temperate Forest"
"224",3,7,"10443","Temperate Cropping Zone"
"225",1,7,"11280","Dry Temperate Forest"
"226",1,3,"10155","Dry Temperate Forest"
"227",3,8,"12519","Temperate Cropping Zone"
"228",13,5,"10423","Arid Chenopod Shrubland Transition"
"229",4,3,"10311","Wet Temperate Forest"
"230",1,8,"13207","Dry Temperate Forest"
"231",3,8,"10111","Temperate Cropping Zone"
"232",4,1,"12432","Wet Temperate Forest"
"233",3,8,"10215","Temperate Cropping Zone"
"234",4,3,"13103","Wet Temperate Forest"
"235",1,3,"11468","Dry Temperate Forest"
"236",1,1,"60618","Dry Temperate Forest"
"237",4,4,"12972","Wet Temperate Forest"
"238",3,8,"10062","Temperate Cropping Zone"
"239",1,3,"10138","Dry Temperate Forest"
"240",1,8,"10385","Dry Temperate Forest"
"241",14,5,"12176","Dry Cropping Zone"
"242",1,8,"10342","Dry Temperate Forest"
"243",3,8,"10648","Temperate Cropping Zone"
"244",3,8,"11364","Temperate Cropping Zone"
"245",3,6,"10145","Temperate Cropping Zone"
"246",14,4,"11819","Dry Cropping Zone"
"247",14,8,"11809","Dry Cropping Zone"
"248",14,8,"10476","Dry Cropping Zone"
"249",3,7,"10186","Temperate Cropping Zone"
"250",1,8,"10377","Dry Temperate Forest"
"251",1,8,"10981","Dry Temperate Forest"
"252",1,3,"10012","Dry Temperate Forest"
"253",1,7,"11162","Dry Temperate Forest"
"254",1,7,"12283","Dry Temperate Forest"
"255",4,2,"13936","Wet Temperate Forest"
"256",4,8,"11381","Wet Temperate Forest"
"257",1,8,"12375","Dry Temperate Forest"
"258",4,4,"10494","Wet Temperate Forest"
"259",3,7,"10168","Temperate Cropping Zone"
"260",1,8,"10322","Dry Temperate Forest"
"261",1,2,"11141","Dry Temperate Forest"
"262",4,5,"10365","Wet Temperate Forest"
"263",1,8,"11335","Dry Temperate Forest"
"264",1,5,"10139","Dry Temperate Forest"
"265",4,4,"13192","Wet Temperate Forest"
"266",4,4,"10605","Wet Temperate Forest"
"267",1,5,"10045","Dry Temperate Forest"
"268",14,4,"62921","Dry Cropping Zone"
"269",1,8,"10097","Dry Temperate Forest"
"270",14,6,"11362","Dry Cropping Zone"
"271",3,8,"10018","Temperate Cropping Zone"
"272",1,8,"10271","Dry Temperate Forest"
"273",14,6,"10691","Dry Cropping Zone"
"274",1,8,"10225","Dry Temperate Forest"
"275",1,7,"10185","Dry Temperate Forest"
"276",1,8,"11379","Dry Temperate Forest"
"277",3,8,"10646","Temperate Cropping Zone"
"278",1,8,"10522","Dry Temperate Forest"
"279",1,7,"10260","Dry Temperate Forest"
"280",1,8,"10100","Dry Temperate Forest"
"281",1,7,"11152","Dry Temperate Forest"
"282",1,8,"10954","Dry Temperate Forest"
"283",1,5,"10117","Dry Temperate Forest"
"284",1,8,"10637","Dry Temperate Forest"
"285",1,5,"12727","Dry Temperate Forest"
"286",1,8,"10272","Dry Temperate Forest"
"287",4,3,"11179","Wet Temperate Forest"
"288",4,5,"11097","Wet Temperate Forest"
"289",4,4,"11175","Wet Temperate Forest"
"290",1,6,"10965","Dry Temperate Forest"
"291",1,4,"12973","Dry Temperate Forest"
"292",1,8,"4874","Dry Temperate Forest"
"293",1,8,"10199","Dry Temperate Forest"
"294",1,8,"10415","Dry Temperate Forest"
"295",14,5,"10270","Dry Cropping Zone"
"296",1,6,"12185","Dry Temperate Forest"
"297",14,3,"10527","Dry Cropping Zone"
"298",14,3,"11055","Dry Cropping Zone"
"299",1,3,"12141","Dry Temperate Forest"
"300",1,6,"10007","Dry Temperate Forest"
"301",1,8,"12126","Dry Temperate Forest"
"302",1,8,"10159","Dry Temperate Forest"
"303",4,3,"13930","Wet Temperate Forest"
"304",1,8,"10133","Dry Temperate Forest"
"305",4,5,"10250","Wet Temperate Forest"
"306",1,8,"10544","Dry Temperate Forest"
"307",1,4,"12666","Dry Temperate Forest"
"308",4,4,"12444","Wet Temperate Forest"
"309",1,4,"12462","Dry Temperate Forest"
"310",1,8,"10564","Dry Temperate Forest"
"311",1,6,"11480","Dry Temperate Forest"
"312",14,7,"12724","Dry Cropping Zone"
"313",4,4,"11115","Wet Temperate Forest"
"314",1,2,"63940","Dry Temperate Forest"
"315",3,2,"63941","Temperate Cropping Zone"
"316",4,4,"12182","Wet Temperate Forest"
"317",4,5,"4697","Wet Temperate Forest"
"318",4,1,"11156","Wet Temperate Forest"
"319",4,1,"12433","Wet Temperate Forest"
"320",14,6,"10296","Dry Cropping Zone"
"321",3,8,"4871","Temperate Cropping Zone"
"322",14,5,"4784","Dry Cropping Zone"
"323",1,8,"5135","Dry Temperate Forest"
"324",14,4,"12342","Dry Cropping Zone"
"325",1,8,"4774","Dry Temperate Forest"
"326",1,7,"10217","Dry Temperate Forest"
"327",1,8,"10258","Dry Temperate Forest"
"328",1,8,"10240","Dry Temperate Forest"
"329",1,7,"10192","Dry Temperate Forest"
"330",1,8,"10631","Dry Temperate Forest"
"331",1,3,"11455","Dry Temperate Forest"
"332",1,5,"19000","Dry Temperate Forest"
"333",4,8,"10645","Wet Temperate Forest"
"334",1,8,"10634","Dry Temperate Forest"
"335",1,7,"12209","Dry Temperate Forest"
"336",1,6,"12529","Dry Temperate Forest"
"337",3,7,"12160","Temperate Cropping Zone"
"338",4,4,"10405","Wet Temperate Forest"
"339",4,7,"10671","Wet Temperate Forest"
"340",14,7,"10450","Dry Cropping Zone"
"341",1,2,"10305","Dry Temperate Forest"
"342",1,3,"10241","Dry Temperate Forest"
"343",1,8,"10249","Dry Temperate Forest"
"344",1,8,"10208","Dry Temperate Forest"
"345",1,6,"10137","Dry Temperate Forest"
"346",1,4,"60126","Dry Temperate Forest"
"347",1,8,"10014","Dry Temperate Forest"
"348",1,7,"12199","Dry Temperate Forest"
"349",3,6,"10598","Temperate Cropping Zone"
"350",1,8,"10337","Dry Temperate Forest"
"351",14,7,"12698","Dry Cropping Zone"
"352",3,8,"10030","Temperate Cropping Zone"
"353",1,5,"10978","Dry Temperate Forest"
"354",1,8,"10237","Dry Temperate Forest"
"355",1,7,"13204","Dry Temperate Forest"
"356",14,7,"12588","Dry Cropping Zone"
"357",3,8,"10700","Temperate Cropping Zone"
"358",1,7,"10099","Dry Temperate Forest"
"359",4,7,"10694","Wet Temperate Forest"
"360",1,4,"10130","Dry Temperate Forest"
"361",4,4,"10506","Wet Temperate Forest"
"362",4,5,"10383","Wet Temperate Forest"
"363",3,8,"10213","Temperate Cropping Zone"
"364",1,5,"12143","Dry Temperate Forest"
"365",3,2,"12144","Temperate Cropping Zone"
"366",4,4,"13203","Wet Temperate Forest"
"367",3,7,"13131","Temperate Cropping Zone"
"368",14,4,"10020","Dry Cropping Zone"
"369",1,8,"5136","Dry Temperate Forest"
"370",3,8,"10205","Temperate Cropping Zone"
"371",1,7,"63913","Dry Temperate Forest"
"372",1,4,"63914","Dry Temperate Forest"
"373",1,4,"63915","Dry Temperate Forest"
"374",1,6,"12813","Dry Temperate Forest"
"375",1,5,"10248","Dry Temperate Forest"
"376",1,8,"10058","Dry Temperate Forest"
"377",1,8,"10259","Dry Temperate Forest"
"378",14,6,"10620","Dry Cropping Zone"
"379",1,8,"10329","Dry Temperate Forest"
"380",1,8,"10254","Dry Temperate Forest"
"381",14,5,"11275","Dry Cropping Zone"
"382",1,7,"10164","Dry Temperate Forest"
"383",1,8,"10638","Dry Temperate Forest"
"384",14,7,"10325","Dry Cropping Zone"
"385",4,7,"12693","Wet Temperate Forest"
"386",1,7,"10662","Dry Temperate Forest"
"387",4,4,"10560","Wet Temperate Forest"
"388",1,7,"10143","Dry Temperate Forest"
"389",1,8,"10381","Dry Temperate Forest"
"390",14,6,"10019","Dry Cropping Zone"
"391",1,7,"10132","Dry Temperate Forest"
"392",14,5,"10402","Dry Cropping Zone"
"393",13,3,"12669","Arid Chenopod Shrubland Transition"
"394",14,8,"10148","Dry Cropping Zone"
"395",1,7,"10162","Dry Temperate Forest"
"396",4,5,"11261","Wet Temperate Forest"
"397",1,8,"10295","Dry Temperate Forest"
"398",1,4,"10264","Dry Temperate Forest"
"399",4,3,"12464","Wet Temperate Forest"
"400",13,4,"10497","Arid Chenopod Shrubland Transition"
"401",14,4,"12374","Dry Cropping Zone"
"402",1,4,"10603","Dry Temperate Forest"
"403",14,4,"10278","Dry Cropping Zone"
"404",1,8,"10369","Dry Temperate Forest"
"405",1,6,"4949","Dry Temperate Forest"
"406",3,2,"4950","Temperate Cropping Zone"
"407",4,5,"10384","Wet Temperate Forest"
"408",1,4,"12287","Dry Temperate Forest"
"409",1,7,"10181","Dry Temperate Forest"
"410",1,5,"10129","Dry Temperate Forest"
"411",1,8,"10934","Dry Temperate Forest"
"412",1,2,"10521","Dry Temperate Forest"
"413",4,5,"10362","Wet Temperate Forest"
"414",1,7,"10502","Dry Temperate Forest"
"415",1,8,"10509","Dry Temperate Forest"
"416",1,8,"10401","Dry Temperate Forest"
"417",3,3,"13151","Temperate Cropping Zone"
"418",1,8,"10326","Dry Temperate Forest"
"419",13,4,"19008","Arid Chenopod Shrubland Transition"
"420",13,6,"12525","Arid Chenopod Shrubland Transition"
"421",1,7,"12271","Dry Temperate Forest"
"422",1,3,"10166","Dry Temperate Forest"
"423",4,4,"10679","Wet Temperate Forest"
"424",4,5,"10366","Wet Temperate Forest"
"425",1,3,"10256","Dry Temperate Forest"
"426",1,7,"10586","Dry Temperate Forest"
"427",1,7,"10380","Dry Temperate Forest"
"428",14,3,"10303","Dry Cropping Zone"
"429",3,8,"10163","Temperate Cropping Zone"
"430",1,8,"10344","Dry Temperate Forest"
"431",1,8,"11003","Dry Temperate Forest"
"432",1,6,"10499","Dry Temperate Forest"
"433",1,5,"11457","Dry Temperate Forest"
"434",1,8,"10125","Dry Temperate Forest"
"435",3,8,"528544","Temperate Cropping Zone"
"436",1,8,"10574","Dry Temperate Forest"
"437",1,8,"10608","Dry Temperate Forest"
"438",1,6,"10482","Dry Temperate Forest"
"439",3,4,"13135","Temperate Cropping Zone"
"440",4,4,"11458","Wet Temperate Forest"
"441",4,4,"13158","Wet Temperate Forest"
"442",4,4,"10253","Wet Temperate Forest"
"443",1,3,"10131","Dry Temperate Forest"
"444",14,5,"61332","Dry Cropping Zone"
"445",1,8,"10242","Dry Temperate Forest"
"446",1,4,"61092","Dry Temperate Forest"
"447",1,5,"13182","Dry Temperate Forest"
"448",1,8,"13058","Dry Temperate Forest"
"449",1,5,"10526","Dry Temperate Forest"
"450",4,8,"11378","Wet Temperate Forest"
"451",3,8,"11808","Temperate Cropping Zone"
"452",4,4,"12994","Wet Temperate Forest"
"453",1,6,"12154","Dry Temperate Forest"
"454",1,8,"11357","Dry Temperate Forest"
"455",3,4,"12318","Temperate Cropping Zone"
"456",1,6,"10441","Dry Temperate Forest"
"457",1,3,"13029","Dry Temperate Forest"
"458",1,6,"12059","Dry Temperate Forest"
"459",1,4,"13125","Dry Temperate Forest"
"460",4,5,"62956","Wet Temperate Forest"
"461",3,8,"10466","Temperate Cropping Zone"
"462",1,3,"10673","Dry Temperate Forest"
"463",3,4,"10504","Temperate Cropping Zone"
"464",4,4,"12541","Wet Temperate Forest"
"465",1,8,"10640","Dry Temperate Forest"
"466",14,6,"10532","Dry Cropping Zone"
"467",4,4,"11008","Wet Temperate Forest"
"468",1,7,"10051","Dry Temperate Forest"
"469",14,6,"12499","Dry Cropping Zone"
"470",3,8,"10218","Temperate Cropping Zone"
"471",1,8,"13063","Dry Temperate Forest"
"472",3,8,"10331","Temperate Cropping Zone"
"473",1,8,"10565","Dry Temperate Forest"
"474",4,5,"10436","Wet Temperate Forest"
"475",4,3,"13195","Wet Temperate Forest"
"476",1,8,"10230","Dry Temperate Forest"
"477",3,4,"11137","Temperate Cropping Zone"
"478",1,8,"10180","Dry Temperate Forest"
"479",1,5,"10500","Dry Temperate Forest"
"480",14,4,"10513","Dry Cropping Zone"
"481",4,2,"10193","Wet Temperate Forest"
"482",1,8,"10976","Dry Temperate Forest"
"483",4,8,"10470","Wet Temperate Forest"
"484",4,3,"5050","Wet Temperate Forest"
"485",14,6,"10585","Dry Cropping Zone"
"486",1,5,"12159","Dry Temperate Forest"
"487",1,5,"13061","Dry Temperate Forest"
"488",3,4,"12150","Temperate Cropping Zone"
"489",1,8,"10009","Dry Temperate Forest"
"490",1,8,"12583","Dry Temperate Forest"
"491",1,7,"11138","Dry Temperate Forest"
"492",1,8,"10269","Dry Temperate Forest"
"493",1,8,"10529","Dry Temperate Forest"
"494",4,4,"10350","Wet Temperate Forest"
"495",3,5,"10277","Temperate Cropping Zone"
"496",1,2,"11034","Dry Temperate Forest"
"497",1,8,"10219","Dry Temperate Forest"
"498",1,4,"11398","Dry Temperate Forest"
"499",1,4,"12407","Dry Temperate Forest"
"500",3,5,"10309","Temperate Cropping Zone"
"501",1,8,"10313","Dry Temperate Forest"
"502",1,8,"10593","Dry Temperate Forest"
"503",1,4,"10160","Dry Temperate Forest"
"504",14,6,"12076","Dry Cropping Zone"
"505",1,7,"12138","Dry Temperate Forest"
"506",4,4,"12441","Wet Temperate Forest"
"507",1,7,"12681","Dry Temperate Forest"
"508",4,5,"12194","Wet Temperate Forest"
"509",14,5,"12092","Dry Cropping Zone"
"510",1,8,"10359","Dry Temperate Forest"
"511",3,7,"12429","Temperate Cropping Zone"
"512",3,8,"4868","Temperate Cropping Zone"
"513",1,4,"4985","Dry Temperate Forest"
"514",3,5,"10302","Temperate Cropping Zone"
"515",1,5,"12993","Dry Temperate Forest"
"516",4,3,"13931","Wet Temperate Forest"
"517",3,7,"4786","Temperate Cropping Zone"
"518",1,8,"10549","Dry Temperate Forest"
"519",14,8,"10536","Dry Cropping Zone"
"520",1,3,"4885","Dry Temperate Forest"
"521",1,4,"63906","Dry Temperate Forest"
"522",4,4,"13033","Wet Temperate Forest"
"523",1,8,"11415","Dry Temperate Forest"
"524",4,4,"12452","Wet Temperate Forest"
"525",1,8,"10224","Dry Temperate Forest"
"526",1,8,"10465","Dry Temperate Forest"
"527",1,8,"10357","Dry Temperate Forest"
"528",1,6,"12586","Dry Temperate Forest"
"529",14,8,"12579","Dry Cropping Zone"
"530",1,8,"10463","Dry Temperate Forest"
"531",1,7,"11263","Dry Temperate Forest"
"532",1,7,"11151","Dry Temperate Forest"
"533",1,3,"10150","Dry Temperate Forest"
"534",1,8,"10110","Dry Temperate Forest"
"535",1,8,"10228","Dry Temperate Forest"
"536",1,8,"10358","Dry Temperate Forest"
"537",1,8,"10425","Dry Temperate Forest"
"538",1,7,"10226","Dry Temperate Forest"
"539",3,8,"10543","Temperate Cropping Zone"
"540",1,8,"10445","Dry Temperate Forest"
"541",4,7,"10488","Wet Temperate Forest"
"542",14,6,"10561","Dry Cropping Zone"
"543",1,8,"10545","Dry Temperate Forest"
"544",1,8,"10617","Dry Temperate Forest"
"545",1,8,"10188","Dry Temperate Forest"
"546",4,4,"11069","Wet Temperate Forest"
"547",1,8,"10448","Dry Temperate Forest"
"548",1,8,"10594","Dry Temperate Forest"
"549",1,8,"10114","Dry Temperate Forest"
"550",4,3,"10028","Wet Temperate Forest"
"551",1,4,"12665","Dry Temperate Forest"
"552",4,8,"10578","Wet Temperate Forest"
"553",1,8,"10189","Dry Temperate Forest"
"554",1,8,"10625","Dry Temperate Forest"
"555",1,8,"11324","Dry Temperate Forest"
"556",1,7,"10453","Dry Temperate Forest"
"557",4,7,"10334","Wet Temperate Forest"
"558",4,5,"10330","Wet Temperate Forest"
"559",1,7,"10558","Dry Temperate Forest"
"560",1,8,"10109","Dry Temperate Forest"
"561",1,8,"10693","Dry Temperate Forest"
"562",14,6,"10535","Dry Cropping Zone"
"563",1,8,"10430","Dry Temperate Forest"
"564",1,5,"62430","Dry Temperate Forest"
"565",1,8,"10364","Dry Temperate Forest"
"566",4,4,"10044","Wet Temperate Forest"
"567",1,7,"12077","Dry Temperate Forest"
"568",3,4,"12603","Temperate Cropping Zone"
"569",1,3,"4882","Dry Temperate Forest"
"570",1,8,"10471","Dry Temperate Forest"
"571",4,4,"11136","Wet Temperate Forest"
"572",1,8,"11321","Dry Temperate Forest"
"573",4,5,"12957","Wet Temperate Forest"
"574",3,8,"10182","Temperate Cropping Zone"
"575",4,7,"10614","Wet Temperate Forest"
"576",14,6,"12655","Dry Cropping Zone"
"577",3,5,"11027","Temperate Cropping Zone"
"578",1,8,"10622","Dry Temperate Forest"
"579",1,8,"10486","Dry Temperate Forest"
"580",1,5,"10267","Dry Temperate Forest"
"581",14,7,"10635","Dry Cropping Zone"
"582",1,8,"10619","Dry Temperate Forest"
"583",3,8,"10653","Temperate Cropping Zone"
